"","PROBEID","GENENAME","ORF"
"251","10250_at","SMC4","YLR086W"
"252","10251_at","CSF1","YLR087C"
"253","10252_at","GAA1","YLR088W"
"254","10253_at","ALT1","YLR089C"
"255","10254_at","XDJ1","YLR090W"
"256","10255_at","GEP5","YLR091W"
"257","10256_at","SUL2","YLR092W"
"258","10257_at","NYV1","YLR093C"
"259","10258_at","GIS3","YLR094C"
"260","10259_at","IOC2","YLR095C"
"261","10260_at","FCF2","YLR051C"
"262","10261_at","IES3","YLR052W"
"263","10262_at",NA,"YLR053C"
"264","10263_at","OSW2","YLR054C"
"265","10264_at","SPT8","YLR055C"
"266","10265_at","ERG3","YLR056W"
"267","10266_at","MNL2","YLR057W"
"268","10267_at","SHM2","YLR058C"
"269","10268_at","REX2","YLR059C"
"270","10269_at","FRS1","YLR060W"
"271","10270_at","RPL22A","YLR061W"
"272","10271_at","BUD28","YLR062C"
"273","10272_at","BMT6","YLR063W"
"274","10273_at","PER33","YLR064W"
"275","10274_at","ENV10","YLR065C"
"276","10275_at","SPC3","YLR066W"
"277","10276_at","PET309","YLR067C"
"278","10277_at","FYV7","YLR068W"
"279","10278_at","MEF1","YLR069C"
"280","10279_at","XYL2","YLR070C"
"281","10280_at","RGR1","YLR071C"
"282","10281_at","LAM6","YLR072W"
"283","10282_at","RFU1","YLR073C"
"284","10283_at",NA,"YLR031W"
"285","10284_at","RAD5","YLR032W"
"286","10285_at","RSC58","YLR033W"
"287","10286_at","SMF3","YLR034C"
"288","10287_at","MLH2","YLR035C"
"289","10288_at",NA,"YLR036C"
"290","10289_f_at","PAU23","YLR037C"
"291","10290_at","COX12","YLR038C"
"292","10291_at","RIC1","YLR039C"
"293","10292_at","AFB1","YLR040C"
"294","10293_at",NA,"YLR041W"
"295","10294_at",NA,"YLR042C"
"296","10295_at","TRX1","YLR043C"
"297","10296_at","PDC1","YLR044C"
"298","10297_at","STU2","YLR045C"
"299","10298_at",NA,"YLR046C"
"300","10299_at","FRE8","YLR047C"
"301","10300_f_at","RPS0B","YLR048W"
"302","10301_at","RPS0B","YLR048W"
"303","10302_g_at","RPS0B","YLR048W"
"304","10303_at",NA,"YLR049C"
"305","10304_at",NA,"YLR050C"
"306","10305_at","RLP24","YLR009W"
"307","10306_at","TEN1","YLR010C"
